# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Dec 21 02:22:32 2025
#
# User preference: *
#
# CONSTRAINT:  where (hostname like '%TOI-%%%%%'
# CONSTRAINT:  and sy_snum = 1
# CONSTRAINT:  and sy_pnum = 1
# CONSTRAINT:  and soltype like '%Published Confirmed%'
# CONSTRAINT:  and pl_controv_flag = 0)
# CONSTRAINT:  order by pl_name asc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
#
pl_name,hostname,sy_snum,sy_pnum,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
TOI-1011 b,TOI-1011,1,1,2025,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BRINKMAN_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170..109B/abstract target=ref>Brinkman et al. 2025</a>,2.47049800000,0.00000700000,-0.00000700000,0,,,,,1.45000000,0.05000000,-0.05000000,0,0.12936056,0.00446071,-0.00446071,0,4.04000000,0.59000000,-0.59000000,0,0.01271126,0.00185635,-0.00185635,0,Mass,0.000000,,,0,,,,,,,,,,5475.00,84.00,-84.00,0,0.920000,0.030000,-0.030000,0,0.910000,0.030000,-0.030000,0,0.0300,0.0400,-0.0400,0,[Fe/H],4.500000,0.050000,-0.050000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h35m56.34s,113.9847611,-32d50m31.20s,-32.8419988,52.62000000,0.07940000,-0.07920000,8.9400000,0.0300000,-0.0300000,7.1090000,0.0210000,-0.0210000,8.7293700,0.0003570,-0.0003570
TOI-1075 b,TOI-1075,1,1,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ESSACK_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221014901E/abstract target=ref>Essack et al. 2022</a>,0.60473280000,0.00000320000,-0.00000320000,0,0.0115900000,0.0002300000,-0.0002000000,0,1.79100000,0.11600000,-0.08100000,0,0.15978259,0.01034884,-0.00722635,0,9.95000000,1.36000000,-1.30000000,0,0.03130620,0.00427904,-0.00409026,0,Mass,0.000000,,,0,509.2000,18.7000,-20.4000,0,1323.00,44.00,-44.00,0,K9 V/M0 V,3875.00,75.00,-75.00,0,0.581000,0.024000,-0.024000,0,0.604000,0.030000,-0.030000,0,-0.0800,0.0900,-0.0900,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h39m53.09s,309.9712091,-65d26m58.92s,-65.4496994,61.45920000,0.09435000,-0.09435000,12.6150000,0.0690000,-0.0690000,9.1150000,0.0230000,-0.0230000,12.0544000,0.0002320,-0.0002320
TOI-1075 b,TOI-1075,1,1,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...99G/abstract target=ref>Giacalone et al. 2022</a>,0.60473280000,0.00000320000,-0.00000320000,0,0.0118000000,0.0001000000,-0.0001000000,0,1.72000000,0.08000000,-0.08000000,0,0.15344839,0.00713713,-0.00713713,0,,,,,,,,,,,,,,,,,,1336.00,56.00,-56.00,0,,3921.00,157.00,-157.00,0,0.580000,0.020000,-0.020000,0,0.600000,0.020000,-0.020000,0,,,,,,4.690000,0.030000,-0.030000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h39m53.09s,309.9712091,-65d26m58.92s,-65.4496994,61.45920000,0.09435000,-0.09435000,12.6150000,0.0690000,-0.0690000,9.1150000,0.0230000,-0.0230000,12.0544000,0.0002320,-0.0002320
TOI-1107 b,TOI-1107,1,1,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=PSARIDI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220510854P/abstract target=ref>Psaridi et al. 2022</a>,4.07823870000,0.00000240000,-0.00000250000,0,0.0561000000,0.0024000000,-0.0025000000,0,14.57167491,0.56044903,-0.56044903,0,1.30000000,0.05000000,-0.05000000,0,1064.72516345,57.20911326,-57.20911326,0,3.35000000,0.18000000,-0.18000000,0,Mass,0.025000,0.023000,-0.016000,0,532.0000,92.0000,-93.0000,0,1728.00,27.00,-27.00,0,F6 V,6311.00,98.00,-98.00,0,1.810000,0.060000,-0.060000,0,1.350000,0.080000,-0.080000,0,-0.1000,0.0900,-0.0900,0,[Fe/H],4.050000,0.040000,-0.040000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h22m25.89s,155.6078632,-82d13m07.93s,-82.2188693,281.31400000,2.03100000,-2.00300000,10.5530000,0.0060000,-0.0060000,9.2050000,0.0190000,-0.0190000,10.3745000,0.0003670,-0.0003670
TOI-1135 b,TOI-1135,1,1,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MALLORQU_IACUTE_N_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240217448M/abstract target=ref>Mallorqu&iacute;n et al. 2024</a>,8.02773000000,0.00000300000,-0.00000300000,0,0.0820000000,0.0030000000,-0.0030000000,0,9.02000000,0.22700000,-0.22700000,0,0.80500000,0.02000000,-0.02000000,0,51.42000000,,,1,0.16200000,,,1,Mass,0.000000,,,0,,,,,1198.90,21.30,-21.30,0,G0,6122.00,15.00,-15.00,0,1.160000,0.029000,-0.029000,0,1.125000,0.032000,-0.032000,0,0.0000,0.0200,-0.0200,0,[Fe/H],4.560000,0.020000,-0.020000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h53m35.13s,193.3963704,+85d07m46.18s,85.1294952,114.04800000,0.30800000,-0.30600000,9.5400000,0.0300000,-0.0300000,8.1920000,0.0190000,-0.0190000,9.4135300,0.0005390,-0.0005390
TOI-1135 b,TOI-1135,1,1,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=HORD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..233H/abstract target=ref>Hord et al. 2024</a>,8.02772830000,,,0,0.0823374030,,,0,9.34085000,0.41959900,-0.41959900,0,0.83243188,0.03739356,-0.03739356,0,,,,,,,,,,,,,,254.8940,,,0,1074.28,,,0,,5962.70,,,0,1.150000,,,0,1.156039,,,0,,,,,,4.380000,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h53m35.13s,193.3963704,+85d07m46.18s,85.1294952,114.04800000,0.30800000,-0.30600000,9.5400000,0.0300000,-0.0300000,8.1920000,0.0190000,-0.0190000,9.4135300,0.0005390,-0.0005390
TOI-1174 b,TOI-1174,1,1,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,8.95345800000,0.00002100000,-0.00002100000,0,0.0800000000,0.0010000000,-0.0010000000,0,2.50646540,0.14189281,-0.10782296,0,0.22361225,0.01265885,-0.00961934,0,32.00000000,,,1,0.10068326,,,1,Mass,0.000000,,,0,,,,,713.83,15.05,-12.91,0,,5158.00,59.00,-58.00,0,0.784700,0.027000,-0.021300,0,0.842500,0.020300,-0.020900,0,-0.0020,0.0620,-0.0620,0,[Fe/H],4.573000,0.021000,-0.033000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h56m52.12s,209.2171751,+68d37m05.56s,68.6182106,94.63750000,0.25080000,-0.24940000,10.9640000,0.0100000,-0.0100000,8.9640000,0.0220000,-0.0220000,10.8073000,0.0007180,-0.0007180
TOI-1174 b,TOI-1174,1,1,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=CROSSFIELD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv241116836C/abstract target=ref>Crossfield et al. 2024</a>,8.95348768300,0.00000903900,-0.00001031400,0,0.0799400000,0.0030150000,-0.0032670000,0,2.56200000,0.25200000,-0.20000000,0,0.22856672,0.02248197,-0.01784284,0,,,,,,,,,,,,,,52.0200,8.9800,-7.8100,0,,,,,,5030.00,60.00,-60.00,0,0.760000,0.050000,-0.050000,0,0.850000,0.100000,-0.100000,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h56m52.12s,209.2171751,+68d37m05.56s,68.6182106,94.63750000,0.25080000,-0.24940000,10.9640000,0.0100000,-0.0100000,8.9640000,0.0220000,-0.0220000,10.8073000,0.0007180,-0.0007180
TOI-1180 b,TOI-1180,1,1,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=CROSSFIELD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv241116836C/abstract target=ref>Crossfield et al. 2024</a>,9.68676037800,0.00000644100,-0.00000670600,0,0.0807990000,0.0032110000,-0.0034820000,0,3.07200000,0.27000000,-0.24300000,0,0.27406595,0.02408783,-0.02167905,0,,,,,,,,,,,,,,36.9700,8.0700,-6.7400,0,,,,,,4738.00,139.00,-139.00,0,0.730000,0.050000,-0.050000,0,0.750000,0.090000,-0.090000,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h18m13.39s,214.5557741,+82d11m37.55s,82.1937642,72.02380000,0.13260000,-0.13210000,11.0170000,0.0160000,-0.0160000,8.5940000,0.0150000,-0.0150000,10.7445000,0.0004180,-0.0004180
TOI-1180 b,TOI-1180,1,1,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,9.68675300000,0.00001200000,-0.00001200000,0,0.0820000000,0.0020000000,-0.0020000000,0,3.03617429,0.18737356,-0.12995175,0,0.27086979,0.01671638,-0.01159354,0,10.00000000,5.30000000,-5.40000000,0,0.03146352,0.01667566,-0.01699030,0,Mass,0.000000,,,0,,,,,638.18,12.87,-12.21,0,,4804.00,53.00,-53.00,0,0.742500,0.023800,-0.021600,0,0.779500,0.023700,-0.026800,0,0.0670,0.0830,-0.0920,0,[Fe/H],4.587000,0.024000,-0.035000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h18m13.39s,214.5557741,+82d11m37.55s,82.1937642,72.02380000,0.13260000,-0.13210000,11.0170000,0.0160000,-0.0160000,8.5940000,0.0150000,-0.0150000,10.7445000,0.0004180,-0.0004180
